City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hadibu,12.65,54.0333,29.25,69,60,9.32,YE,1695208761
83,minas de marcona,-15.2119,-75.1103,12.58,90,51,4.03,PE,1695208761
84,longyearbyen,78.2186,15.6401,-2.09,74,20,1.03,SJ,1695208761
85,pudur,13.0,79.15,33.35,45,99,1.47,IN,1695208761
86,mahajanga,-15.7167,46.3167,30.94,42,3,4.21,MG,1695208762
87,nar'yan-mar,67.6713,53.087,6.4,96,100,4.33,RU,1695208762
88,enewetak,11.3474,162.3373,28.57,72,100,4.22,MH,1695208762
89,puerto ayora,-0.7393,-90.3518,23.64,92,67,3.13,EC,1695208762
90,jiayuguan,39.8167,98.3,23.33,18,1,3.98,CN,1695208762
91,vila velha,-20.3297,-40.2925,24.97,85,40,4.63,BR,1695208762
92,colac,-38.3333,143.5833,8.43,91,85,4.16,AU,1695208762
93,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,75,3.0,RU,1695208763
94,jamestown,42.097,-79.2353,12.06,100,40,2.06,US,1695208763
95,maumere,-8.6199,122.2111,25.0,69,5,1.47,ID,1695208763
96,ilulissat,69.2167,-51.1,-1.99,80,20,0.0,GL,1695208763
97,hue,16.4667,107.6,30.06,74,20,4.12,VN,1695208763
98,krivosheino,57.3431,83.9261,17.06,72,78,1.54,RU,1695208763
99,waingapu,-9.6567,120.2641,25.17,55,2,3.6,ID,1695208763
100,sandnessjoen,66.0217,12.6316,10.06,71,75,3.09,NO,1695208763
101,la'ie,21.6477,-157.9253,25.98,78,100,1.34,US,1695208764
102,thompson,55.7435,-97.8558,13.09,94,75,3.09,CA,1695208764
103,belyy yar,53.6039,91.3903,16.94,77,0,2.0,RU,1695208764
104,ray,23.6833,85.05,29.43,81,85,4.1,IN,1695208764
105,qamdo,31.1667,97.2333,10.64,57,58,1.99,CN,1695208764
106,pisco,-13.7,-76.2167,19.03,77,100,2.57,PE,1695208764
107,hirara,24.8,125.2833,27.92,94,20,2.06,JP,1695208764
108,kodinsk,58.6881,99.1844,9.65,56,25,0.21,RU,1695208518
109,klyuchi,52.2667,79.1667,19.98,45,100,1.36,RU,1695208765
110,kununurra,-15.7667,128.7333,27.99,54,100,3.6,AU,1695208765
111,changling,44.2653,124.0005,14.07,55,11,0.94,CN,1695208765
112,zhaqsy,51.9083,67.3133,14.73,69,100,6.73,KZ,1695208765
113,christchurch,-43.5333,172.6333,19.39,47,100,10.29,NZ,1695208765
114,uturoa,-16.7333,-151.4333,24.33,73,100,8.05,PF,1695208766
115,north bend,43.4065,-124.2243,12.14,94,100,2.57,US,1695208766
116,antsiranana,-12.2787,49.2917,28.86,52,52,8.7,MG,1695208749
117,mendi,-6.1761,143.6513,14.03,99,96,0.33,PG,1695208733
118,labuan bajo,-8.4964,119.8877,24.9,75,14,0.68,ID,1695208766
119,ambalavao,-21.8333,46.9333,29.14,25,4,1.29,MG,1695208552
120,lompoc,34.6391,-120.4579,18.21,87,0,2.57,US,1695208766
121,happy valley-goose bay,53.3168,-60.3315,7.17,87,100,6.69,CA,1695208767
122,hell-ville,-13.4,48.2667,26.13,75,39,6.99,MG,1695208767
123,lianjiang,21.6467,110.2817,26.62,90,25,3.18,CN,1695208767
124,kamyzyak,46.11,48.0736,25.99,34,40,4.0,RU,1695208767
125,ar rumaythah,31.5263,45.2025,41.67,8,0,5.54,IQ,1695208767
126,aldinga beach,-35.2793,138.4604,14.68,79,25,7.55,AU,1695208767
127,yeonggwang,35.275,126.5094,25.81,91,95,6.53,KR,1695208767
128,isiro,2.7739,27.616,31.46,43,84,1.0,CD,1695208768
129,blackmans bay,-43.0167,147.3167,7.07,79,23,5.95,AU,1695208768
130,kingston,17.997,-76.7936,28.53,94,20,1.54,JM,1695208768
131,luau,-10.7073,22.2247,35.22,23,8,2.02,AO,1695208768
132,trofaiach,47.4167,15.0,21.92,59,7,2.01,AT,1695208768
